siteId,percentwet,type,geometry
TLA02,0.9064486830154405,ST,"c(629195.821752559, 3736919.2069036)"
TLA03,1,ST,"c(629115.520182486, 3736909.97753563)"
TLA04,0.9028156221616712,ST,"c(628982.607573149, 3736922.89894551)"
TLA05,0.06804733727810651,BS,"c(628927.226602323, 3736894.28654559)"
TLA06,0.09763313609467456,BS,"c(628893.074988669, 3736861.98069634)"
TLA07,1,BS,"c(628934.61089156, 3736960.74283296)"
TLA08,0.020710059171597635,BS,"c(628923.534229476, 3736981.04882829)"
TLAG4,1,BS,"c(629056.448068672, 3736893.36334491)"
TLB01,0.7225747960108794,ST,"c(629713.629151379, 3736384.78641047)"
TLB02,0.8727810650887574,BS,"c(629702.552834389, 3736309.09943594)"
TLB03,0.4940828402366864,BS,"c(629752.3955017, 3736274.94751153)"
TLB04,0,BS,"c(629776.393926461, 3736261.10312404)"
TLB05,0.16272189349112426,BS,"c(629673.939618314, 3736251.87317901)"
TLC02,0.9900090826521344,ST,"c(629730.243286637, 3736730.9132494)"
TLC03,1,BS,"c(629632.404554133, 3736728.14447532)"
TLC04,0.041666666666666664,BS,"c(629577.023871924, 3736763.21880036)"
TLC05,0.023668639053254437,BS,"c(629674.863113919, 3736791.83279087)"
TLC06,0.05029585798816568,BS,"c(629606.560427045, 3736849.98192979)"
TLC07,0.03254437869822485,BS,"c(629605.637426774, 3736894.28559822)"
TLCG1,0.9378698224852071,BS,"c(629873.309777043, 3736572.15660104)"
TLCG2,0.40236686390532544,BS,"c(629794.853890885, 3736653.38142071)"
TLM02,0.9962825278810409,ST,"c(630009.914734282, 3736655.22671982)"
TLM03,0.9863760217983651,ST,"c(629993.300564956, 3736596.15424979)"
TLM04,0.9945504087193461,ST,"c(629882.539439417, 3736504.77638703)"
TLM05,0.9941634241245136,ST,"c(629792.084943732, 3736463.24141423)"
TLM07,1,ST,"c(629688.707712579, 3736432.78216925)"
TLM08,1,ST,"c(629541.026479415, 3736489.0852252)"
TLM09,0.9300635785649409,ST,"c(629478.261927508, 3736493.70032448)"
TLM11,1,ST,"c(629421.958876999, 3736525.08317245)"
TLM12,1,ST,"c(629380.423466281, 3736621.07559656)"
TLM13,1,ST,"c(629388.730470005, 3736665.38011614)"
TLM14,0.9763851044504995,ST,"c(629432.112278471, 3736756.75769012)"
TLM15,0.9954586739327884,ST,"c(629387.807614354, 3736840.75122268)"
TLM17,0.8856877323420075,ST,"c(629246.587043839, 3737088.11760688)"
TLM18,0.7219917012448133,ST,"c(629189.360416961, 3737226.56856107)"
TLM20,0.3487903225806452,ST,"c(629166.28588511, 3737375.17302693)"
TLM21,0.09171597633136094,BS,"c(629207.821026636, 3737402.86309485)"
TLM22,0.3727810650887574,BS,"c(629249.356081616, 3737473.01183173)"
TLMG3,1,BS,"c(629948.073559842, 3736543.54301265)"
TLMG5,0.9940828402366864,BS,"c(629290.891269631, 3737009.66217295)"
TLX01,0.5295857988165681,BS,"c(629107.213273671, 3737369.63463461)"
TLX02,0.005917159763313609,BS,"c(629080.445553309, 3737433.32231937)"
TLX03,0.011799410029498525,BS,"c(629128.442044934, 3737428.7080009)"
TLY01,0.04142011834319527,BS,"c(629116.442862639, 3737242.25995812)"
TLY02,0,BS,"c(629089.67580514, 3737203.49418751)"
TLY03,0.005917159763313609,BS,"c(629067.523856684, 3737248.72069747)"
TLZ01,1,BS,"c(629340.733741935, 3736585.07862546)"
TLZ02,0.07100591715976332,BS,"c(629283.507464648, 3736569.38757334)"
TLZ03,0.7159763313609467,BS,"c(629277.0464442, 3736589.69360347)"
