Site,Date,wetQf
KNZ,2021-07-23,Flowing
KNZ,2021-08-13,Dry
KNZ,2021-09-03,Pooled
KNZ,2021-09-25,Dry
KNZ,2021-10-22,Dry
KNZ,2021-12-14,Pooled
KNZ,2022-03-16,Dry
KNZ,2022-04-18,Flowing
KNZ,2022-06-02,Flowing
KNZ,2022-06-22,Flowing
KNZ,2022-06-24,Flowing
KNZ,2022-08-08,Pooled
KNZ,2022-08-31,Dry
KNZ,2022-09-20,Dry
KNZ,2022-10-13,Dry
KNZ,2022-10-28,Dry
KNZ,2022-11-08,Dry
KNZ,2022-11-11,Dry
KNZ,2022-11-29,Dry
KNZ,2023-03-14,Pooled
KNZ,2023-03-23,Pooled
KNZ,2023-03-28,Pooled
KNZ,2023-04-13,Pooled
KNZ,2023-06-21,Flowing
KNZ,2023-07-10,Pooled
KNZ,2023-08-31,Dry
KNZ,2024-07-12,Flowing
KNZ,2024-02-16,Flowing
KNZ,2024-04-11,Flowing
KNZ,2024-08-18,Pooled
YMR,2021-08-11,Flowing
YMR,2021-08-28,Flowing
YMR,2021-09-16,Flowing
YMR,2021-10-15,Flowing
YMR,2021-11-23,Flowing
YMR,2022-06-03,Flowing
YMR,2022-06-15,Flowing
YMR,2022-08-03,Pooled
YMR,2022-08-31,Dry
YMR,2022-09-23,Dry
YMR,2022-10-14,Dry
YMR,2022-11-10,Dry
YMR,2023-04-05,Pooled
YMR,2023-05-01,Pooled
YMR,2023-05-17,Pooled
YMR,2023-08-04,Pooled
YMR,2022-12-02,Dry
YMR,2023-06-22,Pooled
YMR,2023-05-22,Flowing
YMR,2023-08-29,Pooled
YMR,2024-07-11,Pooled
YMR,2024-07-24,Dry
YMR,2024-08-13,Dry
SHN,2023-03-24,Flowing
SHN,2023-04-13,Pooled
SHN,2023-06-21,Flowing
SHN,2023-08-31,Dry
KNZ,2022-03-28,Flowing
KNZ,2022-05-09,Flowing
KNZ,2022-07-20,Flowing
KNZ,2022-11-11,Dry
KNZ,2023-07-17,Pooled
SHN,2023-07-17,Pooled
KNZ,2023-06-05,Flowing
SHN,2023-06-06,Flowing
SHN,2023-04-24,Flowing
KNZ,2023-04-21,Flowing
YMR,2022-04-11,Flowing
YMR,2022-07-14,Flowing
YMR,2023-07-20,Flowing
YMR,2023-06-08,Flowing
SHN,2024-04-08,Flowing
SHN,2024-04-22,Flowing
SHN,2024-04-24,Flowing
SHN,2024-05-15,Flowing
SHN,2024-06-26,Flowing
SHN,2024-07-17,Flowing
SHN,2024-07-24,Flowing
SHN,2024-07-30,Flowing
SHN,2024-08-07,Flowing
SHN,2024-08-15,Flowing
SHN,2024-08-19,Flowing
SHN,2024-08-20,Flowing
SHN,2024-08-26,Pooled
SHN,2024-09-02,Pooled
